Date,Close,Volumne,Turnover,future,target,pct_Close,pct_Volumne,pct_Turnover
2003-12-15,2324.99,1.4350115E7,290.11,2309.56,1,0.0015999942876098153,0.06537989416809552,0.01378787426138642
2003-12-16,2321.27,1.3411906E7,286.11,2342.6,1,0.007763000159235635,0.17391129940815273,0.17356957444983878
2003-12-17,2303.25,1.1079424E7,236.45,2427.54,0,-0.0027396325165526974,-0.251619759294346,-0.013237491745443513
2003-12-18,2309.56,1.3867226E7,239.58,2426.03,0,-0.014305771759240369,-0.11421173924763323,-0.3011520519402603
2003-12-19,2342.6,1.5451026E7,311.73,2455.8,0,-0.036258831155702435,-1.1237647260447299,-0.8558046687105699
2003-12-22,2427.54,3.2814344E7,578.51,2508.39,0,6.220328980477521E-4,0.03783540515086939,-0.008262550657775628
2003-12-23,2426.03,3.15728E7,583.29,2594.09,0,-0.012271084517399031,-0.005844904474737749,0.07200535168123719
2003-12-24,2455.8,3.175734E7,541.29,2567.22,0,-0.021414546259617175,0.26860776122937247,0.15355903115466604
2003-12-26,2508.39,2.3227072E7,458.17,2588.78,0,-0.03416542044204192,0.17602752512240888,0.08551415859855069
2003-12-29,2594.09,1.9138468E7,418.99,2665.13,0,0.010358205103566522,-0.4292809643906712,-0.486431662590761
2003-12-30,2567.22,2.7354248E7,622.8,2683.1,0,-0.008398212400881646,0.19048463697484938,0.1506422754706386
2003-12-31,2588.78,2.2143684E7,528.98,2746.5,0,-0.02949259985459714,-0.133940495176864,-0.1452607465170568
2004-01-01,2665.13,2.510962E7,605.82,2728.57,0,-0.006742716353015452,0.1567647778022925,0.32503053923857683
2004-01-02,2683.1,2.1173316E7,408.91,2687.7,1,-0.023629346664752197,-0.3996061835566994,-0.7043603395227
2004-01-05,2746.5,2.9634304E7,696.93,2772.22,1,0.006528283866967049,-0.1341583051857739,-0.2131490814775074
2004-01-06,2728.57,3.3609992E7,845.48,2840.66,0,0.014978584446641768,0.2220787199235275,0.1668046216582551
2004-01-07,2687.7,2.6145928E7,704.45,2872.29,0,-0.03144696992474851,-0.052686980550087956,0.07330543509631025
2004-01-08,2772.22,2.7523478E7,652.81,2905.62,0,-0.024687774465780004,-0.33600339317581884,-0.45860205266838194
2004-01-09,2840.66,3.677146E7,952.19,2973.04,0,-0.011134781329609277,0.10093599764600046,0.14649386138976883
2004-01-12,2872.29,3.3059896E7,812.7,2931.86,0,-0.011604008533859192,0.1471881218259126,0.19579179614513464
2004-01-13,2905.62,2.8193872E7,653.58,2810.77,1,-0.02320328162521783,-0.21546781513372834,-0.2243489718913119
2004-01-14,2973.04,3.4268744E7,800.21,2882.17,1,0.013851119090078055,0.024420037104365425,-0.13963832889635222
2004-01-15,2931.86,3.34319E7,911.95,2783.78,1,0.04130145486276469,0.12434411445356082,0.17281652997589447
2004-01-16,2810.77,2.927484E7,754.35,2641.15,1,-0.02540225697855469,0.14635926276625252,0.26056870672782456
2004-01-19,2882.17,2.4990196E7,557.79,2609.2,1,0.0341374364611082,-0.027432437904848766,-0.10398178935577208
2004-01-20,2783.78,2.5675738E7,615.79,2741.86,1,0.05123613412412848,-0.1376177775299,-0.22061098989672323
2004-01-21,2641.15,2.9209176E7,751.64,2848.42,0,0.012096985159200048,-0.040674615401680624,-0.015885267160757686
2004-01-22,2609.2,3.0397248E7,763.58,2777.72,0,-0.05084323115613201,0.16672706687131678,0.09430578086638458
2004-01-23,2741.86,2.5329204E7,691.57,2732.41,1,-0.038864059535598044,0.263775205884875,0.2775568780805182
2004-01-27,2848.42,1.8647988E7,499.62,2639.88,1,0.024820761373321693,-0.7497886635276685,-0.7975261716240883
2004-01-28,2777.72,3.2630038E7,898.08,2515.55,1,0.016311960554569745,0.014830016440679597,0.14505391173648374
2004-01-29,2732.41,3.2146134E7,767.81,2607.48,1,0.03386389021896182,0.2398630578719046,0.0557950886178706
2004-01-30,2639.88,2.4435464E7,724.97,2616.38,1,0.04709677693816709,-0.1423662755084168,-0.01815252315475082
2004-02-03,2515.55,2.791425E7,738.13,2700.55,0,-0.03654466413158855,0.020547354845643354,-0.03695821614249348
2004-02-04,2607.48,2.7340686E7,765.41,2821.99,0,-0.0034132198177606156,-0.04738081553623051,-0.067310358290199
2004-02-05,2616.38,2.863611E7,816.93,2831.4,0,-0.03217046827509832,0.28113504243418536,0.294896717349613
2004-02-06,2700.55,2.0585496E7,576.02,2831.31,0,-0.04496859499380416,-0.276091282911036,-0.21619034762551825
2004-02-09,2821.99,2.6268972E7,700.55,2797.04,1,-0.0033344952115133045,-0.2801502852871441,-0.38725293525045845
2004-02-10,2831.4,3.3628232E7,971.84,2816.84,1,3.173121180290709E-5,0.14459297176253572,0.141998678986828
2004-02-11,2831.31,2.8765826E7,833.84,2808.21,1,0.012103944401013844,-0.1442469268916526,-0.058632294011661125
2004-02-12,2797.04,3.2915208E7,882.73,2839.97,1,-0.007078929350886767,0.41224931648616653,0.3801162138496353
2004-02-13,2816.84,1.9345936E7,547.19,2821.99,1,0.003063761762772846,-0.08381936133769904,-0.004349503595083234
2004-02-16,2808.21,2.09675E7,549.57,2736.65,1,-0.011309699134826143,-0.046336473113151304,-0.10444522556530846
2004-02-17,2839.97,2.193906E7,606.97,2694.19,1,0.006331045980848341,0.26560709529031784,0.1901082256131873
2004-02-18,2821.99,1.611189E7,491.58,2613.34,1,0.030241102266821734,-0.28099521533476207,-0.18395790240346888
2004-02-19,2736.65,2.0639254E7,582.01,2647.94,1,0.015515306105152874,-0.05704479435157879,-0.11810791752886955
2004-02-20,2694.19,2.1816616E7,650.75,2607.77,1,0.03000896569060194,0.1210000671048159,0.20467153659839607
2004-02-23,2613.34,1.9176804E7,517.56,2561.0,1,-0.013239705645640826,-0.12403860413862497,-0.19180388747105884
2004-02-24,2647.94,2.1555468E7,616.83,2603.97,1,0.015170254146197451,0.19058959888971094,0.22586450637003652
2004-02-25,2607.77,1.744722E7,477.51,2676.63,0,0.017934871242847164,-0.24913493381753654,-0.14378750547707145
2004-02-26,2561.0,2.1793932E7,546.17,2680.09,0,-0.016778590668928152,0.1622003776096943,0.06452201940246852
2004-02-27,2603.97,1.8258948E7,510.93,2698.12,0,-0.02790351383727952,0.202173257736426,0.17785214495100213
2004-03-01,2676.63,1.4567477E7,420.06,2730.13,1,-0.0012927469353697678,-0.17483624652367738,-0.2521782442780812
2004-03-03,2680.09,1.71144E7,525.99,2808.1,0,-0.006727396731303761,-0.21711284064881037,-0.3744558368589736
2004-03-04,2698.12,2.0830156E7,722.95,2808.39,0,-0.011863728905578429,0.2794369374862099,0.3181132956679012
2004-03-05,2730.13,1.5009441E7,492.97,2730.5,1,-0.028559159523732024,-0.37161963593447617,-0.06537925412605121
2004-03-08,2808.1,2.0587244E7,525.2,2671.38,1,-1.0319964096610166E-4,-0.21958101822662615,-0.45321775081735627
2004-03-09,2808.39,2.5107812E7,763.23,2669.23,1,0.027734714750244825,0.3204326207317468,0.30254311158310915
2004-03-10,2730.5,1.706245E7,532.32,2598.43,1,0.021651755058597327,0.01571861016442539,0.07767885019270127
2004-03-11,2671.38,1.6794252E7,490.97,2583.42,1,8.047909462754977E-4,0.16261724547184359,0.12782860380386626
2004-03-12,2669.23,1.4063217E7,428.21,2634.67,1,0.026524521808230114,-0.1287259522483369,-0.1435510671103799
2004-03-15,2598.43,1.5873518E7,489.68,2583.07,1,0.005776568989931476,0.01790069472942293,-0.044273797173771084
2004-03-16,2583.42,1.5589371E7,511.36,2599.73,1,-0.019838044742955946,-0.0606674252604547,0.03463311945087455
2004-03-17,2634.67,1.6535138E7,493.65,2532.39,1,0.019584940446317176,0.01863625208329075,0.03836726967604878
2004-03-18,2583.07,1.6226985E7,474.71,2520.85,1,-0.006449655513973907,0.17050049654942062,0.11674492618173732
2004-03-19,2599.73,1.3460276E7,419.29,2529.19,1,0.025902723896919132,-0.0704478125114225,0.13537172031024883
2004-03-22,2532.39,1.4408523E7,362.53,2584.37,0,0.004556879237156801,0.1062718225872284,0.1107218278929133
2004-03-23,2520.85,1.2877303E7,322.39,2725.62,0,-0.0033083457670703767,0.09289282080261682,-0.002388377364948908
2004-03-24,2529.19,1.1681094E7,323.16,2799.16,0,-0.02181733165938869,-0.9926253482764542,-0.8168709246034703
2004-03-25,2584.37,2.3276044E7,587.14,2781.98,0,-0.05465548415863845,-0.13788099042947333,-0.24239534655023617
2004-03-26,2725.62,2.6485368E7,729.46,2813.7,0,-0.026980940762118714,0.12644762949867264,0.11472870331548253
2004-03-29,2799.16,2.3136356E7,645.77,2871.0,0,0.0061375313237029905,-0.06699067044092856,-0.025380480848550928
2004-03-30,2781.98,2.4686276E7,662.16,2909.32,0,-0.011401940677438067,0.15730408264089732,0.162800519761165
2004-03-31,2813.7,2.0803024E7,554.36,2882.8,0,-0.02036466212549073,-0.22233786780229645,-0.21390435858144236
2004-04-01,2871.0,2.5428324E7,672.94,2894.16,1,-0.013347289571360154,-0.3635814928266605,-0.09231134260382502
2004-04-02,2909.32,3.4673592E7,735.06,2894.42,1,0.009115538650996615,0.17501988256653653,0.09797842321777152
2004-04-05,2882.8,2.8605024E7,663.04,2909.73,1,-0.003940565800207979,-0.010872915191401343,-0.21402937814080816
2004-04-06,2894.16,2.8916044E7,804.95,2894.17,1,-8.983946067979874E-5,0.1494365550142336,0.21498227861193037
2004-04-07,2894.42,2.459493E7,631.9,2968.02,0,-0.005289508435884511,-0.5801367192344113,-0.5314447433365047
2004-04-08,2909.73,3.8863352E7,967.72,2989.47,0,0.005347595377645081,0.5634717252387288,0.6060016938372731
2004-04-12,2894.17,1.6964952E7,381.28,3024.1,0,-0.025516849269308247,-0.5178627089543195,-0.4320184687055954
2004-04-13,2968.02,2.5750468E7,546.0,3044.75,0,-0.007227023750083285,-0.5125188404342788,-0.41386441520718864
2004-04-15,2989.47,3.8948068E7,771.97,3026.49,1,-0.011584035729577833,0.11078618841889668,0.0821663990608443
2004-04-16,3024.1,3.463316E7,708.54,3025.56,1,-0.006828445381075239,0.5369702909003972,0.6626443020974149
2004-04-17,3044.75,1.6036182E7,239.03,3059.15,1,0.005997211516750144,-1.7045347826558717,-1.9563652125397462
2004-04-19,3026.49,4.3370412E7,706.66,3122.04,0,3.072640727792346E-4,0.2715653243045051,0.21266234677619472
2004-04-20,3025.56,3.1592512E7,556.38,3184.48,0,-0.011102025112538081,-0.03066783673295748,-0.07446348235412853
2004-04-21,3059.15,3.2561386E7,597.81,3041.48,1,-0.0205580434847495,-0.47743624918177624,-0.36934810172914057
2004-04-22,3122.04,4.8107372E7,818.61,3083.55,1,-0.019999724739276484,-0.14845042876172906,-0.47959343596002
2004-04-23,3184.48,5.5248932E7,1211.21,3085.63,1,0.04490529093511546,0.21878598485849465,0.2377869717216852
2004-04-27,3041.48,4.316124E7,923.2,3059.79,1,-0.013832104314193513,-0.23228720954263593,-0.031239130674800105
2004-04-28,3083.55,5.3187044E7,952.04,2985.05,1,-6.744933441782214E-4,0.1161302365290314,0.14568710807634946
2004-04-29,3085.63,4.701042E7,813.34,3054.71,1,0.008374252496688753,0.33878344418109857,0.1994860631995331
2004-04-30,3059.79,3.1084068E7,651.09,3039.99,1,0.024426509427187642,-0.4057099604852235,-0.18716303479582158
2004-05-03,2985.05,4.3695184E7,772.95,3113.52,0,-0.0233362626990868,-0.08706936672929447,-0.0496668788953391
2004-05-04,3054.71,4.7499696E7,811.34,3084.6,1,0.004818778506424025,0.1933801007905398,0.2699484954293596
2004-05-05,3039.99,3.83142E7,592.32,3020.87,1,-0.024187589279268,-0.17379415464762413,-0.24052871579794718
2004-05-06,3113.52,4.4972984E7,734.79,2881.84,1,0.009288497165132725,0.283906089042257,0.22542489495837584
2004-05-07,3084.6,3.220488E7,569.15,2879.69,1,0.020660694563672453,0.2025183760970387,0.04443475002664893
2004-05-10,3020.87,2.56828E7,543.86,2820.14,1,0.04602317342472015,-0.11051847929353498,-0.07698671762020119
2004-05-11,2881.84,2.8521224E7,585.73,2455.52,1,7.461019413984239E-4,-0.5609774671662058,-0.33653731529916847
2004-05-12,2879.69,4.4520988E7,782.85,2110.57,1,0.020679326608004436,-0.21246267041513095,-0.2179345362552036
2004-05-13,2820.14,5.3980036E7,953.46,2365.46,1,0.12929141352400983,-0.14688489648284042,-0.1440333248642303
2004-05-14,2455.52,6.1908888E7,1090.79,2542.94,0,0.14047938865419013,0.4896661364681595,0.5849705766229859
2004-05-17,2110.57,3.1594202E7,452.71,2522.66,0,-0.12076826844050738,-0.2103019408434497,-0.2249342592262404
2004-05-18,2365.46,3.8238524E7,554.54,2519.43,0,-0.075029796910369,-0.22580191641288247,-0.589082946025588
2004-05-19,2542.94,4.6872856E7,881.21,2551.25,1,0.007975032743266485,0.26029785767694635,0.29408429086398186
2004-05-20,2522.66,3.4671952E7,622.06,2540.61,1,0.0012803868064994873,0.17503012233058007,0.21542939634693706
2004-05-21,2519.43,2.8603316E7,488.05,2540.15,1,-0.012629868352264166,0.1471872701752482,0.015428744939321887
2004-05-24,2551.25,2.4393272E7,480.52,2529.58,1,0.00417046254899559,-0.04757492147834862,-0.06033051988421712
2004-05-25,2540.61,2.555378E7,509.51,2356.95,1,1.8113959193526177E-4,0.26599939421878094,0.1535004621570299
2004-05-26,2540.15,1.875649E7,431.3,2243.9,1,0.0041611025431992875,-0.08516870693823844,-0.08650590914577808
2004-05-27,2529.58,2.0353956E7,468.61,2280.78,1,0.06824457879233599,-0.5012480129169976,-0.5520368974795336
2004-05-28,2356.95,3.0556336E7,727.3,2379.0,1,0.04796455214160001,0.03144716041870989,0.22690770112964134
2004-05-31,2243.9,2.9595426E7,562.27,2372.6,0,-0.016435727331064885,0.24428930335383583,0.17240832623407662
